stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
CAN,20,1989,15458,9480000,88,286872,27286,9685,0.0122378,3.02
CAN,20,1990,12281,10280000,87,288928,27701,10070,0.0113033,3.02
CAN,20,1991,12987,11420000,86,285038,28031,10455,0.0119571,3.02
CAN,20,1992,13924,10310000,82,289776,28377,10677,0.0124258,3.02
CAN,20,1993,14387,9600000,76,313476,28703,10903,0.012659,3.02
CAN,20,1994,13897,9695000,75,328761,29036,11135,0.0124435,3.02
CAN,20,1995,14415,9126000,70,334696,29354,11371,0.0122199,3.02
CAN,20,1996,14735,8624000,66,345781,29672,11612,0.0121407,3.02
CAN,20,1997,15553,7801000,61,349368,30004,11751,0.0124138,3.02
CAN,20,1998,15930,7677000,60,339682,30563,11892,0.0124631,3.02
CAN,20,1999,16235,8395000,60,339700,30857,12035,0.0125946,3.02
CAN,20,2000,16594,8320000,59,339718,31147,12163,0.0123635,3.02
CAN,20,2001,15276,7745000,57,339736,31151,12291,0.0119133,3.02
BHM,31,1973,0,0,0,79,181,0,9.34E-06,3.02
BHM,31,1974,0,0,0,81,185,0,9.40E-06,3.02
BHM,31,1975,0,0,0,84,189,0,9.46E-06,3.02
BHM,31,1976,0,5500,0,80,193,0,0.0000115,3.02
BHM,31,1977,0,4800,0,85,197,0,0.0000111,3.02
BHM,31,1978,0,4900,0,91,201,0,0.0000111,3.02
BHM,31,1979,0,2700,0,102,206,0,0.0000104,3.02
BHM,31,1980,0,5000,0,105,210,135,0.0000349,3.02
BHM,31,1981,0,6600,0,94,214,139,0.000035,3.02
BHM,31,1982,0,9000,0,100,218,143,0.0000355,3.02
BHM,31,1983,0,8000,0,107,223,146,0.0000349,3.02
BHM,31,1984,0,8600,0,107,227,150,0.0000349,3.02
BHM,31,1985,0,9600,1,111,232,154,0.0000412,3.02
BHM,31,1986,0,11100,0,111,236,157,0.0000351,3.02
BHM,31,1987,0,14337,0,112,241,159,0.0000351,3.02
BHM,31,1988,0,77700,0,112,246,163,0.0000462,3.02
BHM,31,1989,0,66500,2,114,251,165,0.0000586,3.02
BHM,31,1990,0,65700,1,117,255,172,0.0000512,3.02
BHM,31,1991,0,48000,0,119,260,177,0.000043,3.02
BHM,31,1992,0,17800,1,120,264,182,0.0000443,3.02
BHM,31,1993,0,-9,1,121,269,187,0.0000487,3.02
BHM,31,1994,0,20000,0,126,274,192,0.0000378,3.02
BHM,31,1995,0,19000,0,133,279,196,0.0000376,3.02
BHM,31,1996,0,22000,0,139,284,199,0.0000378,3.02
BHM,31,1997,0,22000,0,824,289,203,0.0000475,3.02
BHM,31,1998,0,26000,0,848,296,207,0.0000488,3.02
BHM,31,1999,0,26000,1,862,301,211,0.0000566,3.02
BHM,31,2000,0,30000,1,877,307,214,0.0000574,3.02
BHM,31,2001,0,29000,1,891,307,218,0.0000576,3.02
CUB,40,1902,0,-9,3,5,1760,262,0.0011215,3.02
CUB,40,1903,0,-9,3,5,1840,266,0.0011201,3.02
CUB,40,1904,0,-9,4,5,1880,271,0.0011529,3.02
CUB,40,1905,0,-9,4,6,1930,275,0.0011218,3.02
CUB,40,1906,0,6161,4,5,1980,279,0.0034081,3.02
CUB,40,1909,0,-9,5,11,2150,294,0.001167,3.02
CUB,40,1910,0,-9,5,12,2220,301,0.0011722,3.02
CUB,40,1911,0,-9,5,23,2290,309,0.0011662,3.02
CUB,40,1912,0,-9,5,16,2360,316,0.001179,3.02
CUB,40,1913,0,7293,11,8,2410,324,0.0031746,3.02
CUB,40,1914,0,-9,13,8,2510,330,0.001421,3.02
CUB,40,1915,0,-9,15,13,2590,336,0.0011779,3.02
CUB,40,1916,0,-9,18,20,2660,341,0.0012203,3.02
CUB,40,1917,0,-9,19,14,2750,348,0.0012404,3.02
CUB,40,1918,0,-9,19,21,2830,354,0.0012454,3.02
CUB,40,1919,0,14374,18,19,2910,361,0.0013558,3.02
CUB,40,1920,0,16979,18,21,3000,378,0.0016701,3.02
CUB,40,1921,0,17444,18,23,3080,393,0.0017549,3.02
CUB,40,1922,0,14133,12,10,3180,418,0.001655,3.02
CUB,40,1923,0,9506,12,15,3260,437,0.0015931,3.02
CUB,40,1924,0,9516,12,13,3350,459,0.001783,3.02
CUB,40,1925,0,12043,13,26,3430,485,0.0018452,3.02
CUB,40,1926,0,12471,13,30,3520,511,0.0018764,3.02
CUB,40,1927,0,12313,13,30,3610,548,0.0018457,3.02
CUB,40,1928,0,12846,13,29,3510,581,0.0017728,3.02
CUB,40,1929,0,12734,13,32,3580,644,0.0017985,3.02
CUB,40,1930,0,11988,13,33,3650,691,0.0017736,3.02
CUB,40,1931,0,10100,13,29,3960,740,0.0017968,3.02
CUB,40,1932,0,9795,13,26,3960,802,0.001892,3.02
CUB,40,1933,0,7894,13,26,3960,867,0.0018172,3.02
CUB,40,1934,0,12195,13,29,4040,901,0.0018244,3.02
CUB,40,1935,0,14488,16,31,4070,922,0.0017698,3.02
CUB,40,1936,0,18385,16,34,4110,944,0.0018335,3.02
CUB,40,1937,0,18485,19,38,4170,966,0.0018041,3.02
CUB,40,1938,0,18385,19,40,4230,983,0.0017455,3.02
CUB,40,1939,0,18477,19,42,4250,1006,0.0015868,3.02
CUB,40,1940,0,17416,19,44,4290,1042,0.0014569,3.02
CUB,40,1941,0,-9,19,46,4330,1088,0.0017546,3.02
CUB,40,1942,0,15794,20,47,4370,1116,0.0014924,3.02
CUB,40,1943,0,-9,20,49,4780,1148,0.0018267,3.02
CUB,40,1944,0,-9,20,56,4850,1173,0.0017596,3.02
CUB,40,1945,0,-9,21,74,4930,1199,0.0017085,3.02
CUB,40,1946,0,-9,18,81,5040,1224,0.00215,3.02
CUB,40,1947,0,-9,18,95,5150,1261,0.0018982,3.02
CUB,40,1948,0,39943,18,97,5287,1298,0.0017359,3.02
CUB,40,1949,0,-9,19,98,5399,1337,0.0017947,3.02
CUB,40,1950,0,39175,20,431,5858,1372,0.0016774,3.02
CUB,40,1951,0,-9,20,612,5638,1395,0.0017869,3.02
CUB,40,1952,0,56000,20,643,5759,1416,0.0014931,3.02
CUB,40,1953,0,53000,21,712,6129,1440,0.0014938,3.02
CUB,40,1954,0,-9,21,706,6254,1463,0.0016422,3.02
CUB,40,1955,0,54000,13,802,6426,1488,0.0013484,3.02
CUB,40,1956,3,51000,13,884,6513,1509,0.0013252,3.02
CUB,40,1957,12,56100,19,3224,6641,1538,0.0014764,3.02
CUB,40,1958,20,-9,19,5496,6763,1568,0.0017642,3.02
CUB,40,1959,29,-9,19,5298,6901,1599,0.0017194,3.02
CUB,40,1960,37,175000,46,4748,7029,1609,0.0018378,3.02
CUB,40,1961,46,175000,270,4431,7134,1620,0.0037498,3.02
CUB,40,1962,54,200000,270,5378,7254,1630,0.0036577,3.02
CUB,40,1963,63,200000,80,5412,7415,1641,0.0019979,3.02
CUB,40,1964,52,200000,110,5023,7612,1651,0.0021671,3.02
CUB,40,1965,36,140000,110,5189,7809,1661,0.0021071,3.02
CUB,40,1966,67,230000,110,5347,7985,1672,0.0020921,3.02
CUB,40,1967,120,170000,110,5544,8139,1710,0.0020022,3.02
CUB,40,1968,120,213000,110,10164,8284,1747,0.0021032,3.02
CUB,40,1969,119,186000,140,10739,8421,1785,0.0022515,3.02
CUB,40,1970,140,228000,140,13272,8546,1822,0.0022793,3.02
CUB,40,1971,111,290000,140,12019,8678,1855,0.0022704,3.02
CUB,40,1972,187,267000,140,11554,8041,1889,0.0021711,3.02
CUB,40,1973,221,270000,140,13057,9011,1922,0.0021966,3.02
CUB,40,1974,250,282000,140,13809,9162,1956,0.0021511,3.02
CUB,40,1975,298,326000,120,14699,9299,1989,0.0020633,3.02
CUB,40,1976,250,-9,125,14846,9430,2216,0.0023568,3.02
CUB,40,1977,330,770000,200,15740,9547,2444,0.0027992,3.02
CUB,40,1978,324,1031579,210,15253,9644,2671,0.0028907,3.02
CUB,40,1979,313,1136486,210,15606,9720,2898,0.002889,3.02
CUB,40,1980,292,1126388,220,14676,9724,3126,0.0029045,3.02
CUB,40,1981,317,1272515,225,15209,9724,3353,0.002955,3.02
CUB,40,1982,290,1330000,230,16006,9801,3395,0.0029729,3.02
CUB,40,1983,352,1338001,250,15715,9897,3428,0.0030776,3.02
CUB,40,1984,325,1357214,297,15899,9994,3492,0.0032789,3.02
